gene,stress,reasonable_term
Solyc12g056610,heat,true
Solyc12g056700,heat,true
Solyc12g056710,heat,true
Solyc12g056770,heat,true
Solyc12g094690,heat,true
Solyc12g096020,heat,true
Solyc12g098410,heat,true
Solyc12g099980,heat,true
Solyc12g100010,heat,true
Solyc12g100030,heat,true
Solyc00g500095,drought,true
Solyc01g005400,drought,true
Solyc01g005410,drought,true
Solyc01g005500,drought,true
Solyc01g005970,drought,true
Solyc01g006540,drought,true
Solyc01g006650,drought,true
Solyc01g006720,drought,true
Solyc01g007010,drought,true
Solyc01g008440,drought,true
Solyc01g008850,drought,true
Solyc01g009060,drought,true
Solyc01g009330,drought,true
Solyc01g014480,drought,true
Solyc01g022740,drought,true
Solyc01g057270,drought,true
Solyc01g057510,drought,true
Solyc01g057910,drought,true
Solyc01g059840,drought,true
Solyc01g065550,drought,true
Solyc01g065700,drought,true
Solyc01g065720,drought,true
Solyc01g066120,drought,true
Solyc01g067520,drought,true
Solyc01g068000,drought,true
Solyc01g079170,drought,true
Solyc01g079760,drought,true
Solyc01g080250,drought,true
Solyc01g080410,drought,true
Solyc01g080640,drought,true
Solyc01g081530,drought,true
Solyc01g086960,drought,true
Solyc01g087250,drought,true
Solyc01g087900,drought,true
Solyc01g088400,drought,true
Solyc01g089920,drought,true
Solyc01g090000,drought,true
Solyc01g090010,drought,true
Solyc01g090070,drought,true
Solyc01g090080,drought,true
Solyc01g090110,drought,true
Solyc01g090370,drought,true
Solyc01g091520,drought,true
Solyc01g091660,drought,true
Solyc01g094030,drought,true
Solyc01g094170,drought,true
Solyc01g094520,drought,true
Solyc01g094690,drought,true
Solyc01g094720,drought,true
Solyc01g094960,drought,true
Solyc01g095140,drought,true
Solyc01g095150,drought,true
Solyc01g095250,drought,true
Solyc01g095260,drought,true
Solyc01g095310,drought,true
Solyc01g095460,drought,true
Solyc01g095740,drought,true
Solyc01g095990,drought,true
Solyc01g096040,drought,true
Solyc01g096050,drought,true
Solyc01g096320,drought,true
Solyc01g096720,drought,true
Solyc01g096880,drought,true
Solyc01g097290,drought,true
Solyc01g097510,drought,true
Solyc01g097540,drought,true
Solyc01g097980,drought,true
Solyc01g098430,drought,true
Solyc01g098500,drought,true
Solyc01g099770,drought,true
Solyc01g099780,drought,true
Solyc01g100020,drought,true
Solyc01g100040,drought,true
Solyc01g100140,drought,true
Solyc01g100280,drought,true
Solyc01g100390,drought,true
Solyc01g100830,drought,true
Solyc01g102290,drought,true
Solyc01g103590,drought,true
Solyc01g103630,drought,true
Solyc01g104030,drought,true
Solyc01g104580,drought,true
Solyc01g104650,drought,true
Solyc01g104740,drought,true
Solyc01g105570,drought,true
Solyc01g106400,drought,true
Solyc01g107170,drought,true
Solyc01g107650,drought,true
Solyc01g107880,drought,true
Solyc01g108080,drought,true
Solyc01g108280,drought,true
Solyc01g109170,drought,true
Solyc01g109660,drought,true
Solyc01g109710,drought,true
Solyc01g109920,drought,true
Solyc01g110110,drought,true
Solyc01g111280,drought,true
Solyc01g111300,drought,true
Solyc01g111630,drought,true
Solyc01g111850,drought,true
Solyc01g150154,drought,true
Solyc02g005180,drought,true
Solyc02g005601,drought,true
Solyc02g014460,drought,true
Solyc02g020890,drought,true
Solyc02g021440,drought,true
Solyc02g032185,drought,true
Solyc02g032670,drought,true
Solyc02g032690,drought,true
Solyc02g038807,drought,true
Solyc02g062100,drought,true
Solyc02g062313,drought,true
Solyc02g062317,drought,true
Solyc02g062590,drought,true
Solyc02g063010,drought,true
Solyc02g063523,drought,true
Solyc02g063547,drought,true
Solyc02g064870,drought,true
Solyc02g064880,drought,true
Solyc02g064920,drought,true
Solyc02g064930,drought,true
Solyc02g064980,drought,true
Solyc02g065380,drought,true
